placekey,year,month,home_cbg,visitors
222-222@8gd-kdb-7kf,2019,1,450190020033,4
222-222@8gd-kdb-7kf,2019,1,450450019003,4
222-222@8gd-kdb-7kf,2019,1,450499205001,4
222-222@8gd-kdb-7kf,2019,1,450299703001,4
222-222@8gd-kdb-7kf,2019,1,450130022012,4
222-222@8gd-kdb-7kf,2019,1,450770111025,4
222-222@8gd-kdb-7kf,2019,1,450539502011,4
222-222@8gd-kdb-7kf,2019,1,120070003004,4
222-222@8gd-kdb-7kf,2019,1,450630213061,4
222-222@8gd-kdb-7kf,2019,1,450130101001,4
222-222@8gd-kdb-7kf,2019,1,130510107001,4
222-222@8gd-kdb-7kf,2019,1,450539502025,4
222-222@8gd-kdb-7kf,2019,1,370370208001,4
222-222@8gd-kdb-7kf,2019,1,450499202003,4
222-222@8gd-kdb-7kf,2019,1,450130021073,4
222-222@8gd-kdb-7kf,2019,1,450150207211,4
222-222@8gd-kdb-7kf,2019,1,450190031153,4
222-222@8gd-kdb-7kf,2019,1,450190046073,4
222-222@8gd-kdb-7kf,2019,1,450499204001,4
222-222@8gd-kdb-7kf,2019,1,450499201001,4
222-222@8gd-kdb-7kf,2019,1,450130010001,4
222-222@8gd-kdb-7kf,2019,1,130311102001,4
222-222@8gd-kdb-7kf,2019,1,130510110053,4
222-222@8gd-kdb-7kf,2019,1,450130021074,4
222-222@8gd-kdb-7kf,2019,1,450059704002,4
222-222@8gd-kdb-7kf,2019,1,450299704012,4
222-222@8gd-kdb-7kf,2019,1,471790605022,4
222-222@8gd-kdb-7kf,2019,1,131030303011,4
222-222@8gd-kdb-7kf,2019,1,130510035011,4
222-222@8gd-kdb-7kf,2019,1,450190046084,4
222-222@8gd-kdb-7kf,2019,1,450790117011,4
222-222@8gd-kdb-7kf,2019,1,120330026051,4
222-222@8gd-kdb-7kf,2019,1,450130021083,4
222-222@8gd-kdb-7kf,2019,1,450539502023,4
222-222@8gd-kdb-7kf,2019,1,450499202001,4
222-222@8gd-kdb-7kf,2019,1,450539502024,4
222-222@8gd-kdb-7kf,2019,1,120860202003,4
222-222@8gd-kdb-7kf,2019,1,450130012001,4
222-222@8gd-kdb-7kf,2019,1,131350505491,4
222-222@8gd-kdb-7kf,2019,1,450630210312,4
222-222@8gd-kdb-7kf,2019,1,450130007001,4
222-222@8gd-kdb-7kf,2019,1,450130011013,4
222-222@8gd-kdb-7kf,2019,1,130630405241,4
222-222@8gd-kdb-7kf,2019,1,450190020051,4
222-222@8gd-kdb-7kf,2019,1,131030303052,4
222-222@8gd-kdb-7kf,2019,1,450499201002,4
222-222@8gd-kdb-7kf,2019,1,450190052002,4
222-222@8gd-kdb-7kf,2019,1,371590518021,4
222-222@8gd-kdb-7kf,2019,1,450539503002,4
222-222@8gd-kdb-7kf,2019,1,450350106042,4
222-222@8gd-kdb-7kf,2019,1,450299703004,4
222-222@8gd-kdb-7kf,2019,1,450750117002,4
222-222@8gd-kdb-7kf,2019,1,450059704003,4
222-222@8gd-kdb-7kf,2019,1,371510306002,4
222-222@8gd-kdb-7kf,2019,1,130510108071,4
222-222@8gd-kdb-7kf,2019,1,450150204031,4
222-222@8gd-kdb-7kf,2019,1,450130021031,4
222-222@8gd-kdb-7kf,2019,1,450130021052,4
222-222@8gd-kdb-7kf,2019,1,450750115002,4
222-222@8gd-kdb-7kf,2019,1,450130022011,4
222-222@8gd-kdb-7kf,2019,1,450539501004,4
222-222@8gd-kdb-7kf,2019,1,170318244001,4
222-222@8gd-kdb-7kf,2019,1,450130021062,4
222-222@8gd-kdb-7kf,2019,1,450130001003,4
222-222@8gd-kdb-7kf,2019,1,130510110054,4
222-222@8gd-kdb-7kf,2019,1,131030304012,4
222-222@8gd-kdb-7kf,2019,1,450150204041,4
222-222@8gd-kdb-7kf,2019,1,450299706004,4
222-222@8gd-kdb-7kf,2019,1,450130021081,4
222-222@8gd-kdb-7kf,2019,1,450130021075,4
222-222@8gd-kdb-7kf,2019,1,450630208052,4
222-222@8gd-kdb-7kf,2019,1,450130021041,4
222-222@8gd-kdb-7kf,2019,1,371330013002,4
222-222@8gd-kdb-7kf,2019,1,450299705002,4
222-222@8gd-kdb-7kf,2019,1,450190021011,4
222-222@8gd-kdb-7kf,2019,1,450499204003,4
222-222@8gd-kdb-7kf,2019,1,130510036021,4
222-222@8gd-kdb-7kf,2019,1,450099602002,5
222-222@8gd-kdb-7kf,2019,1,450130010002,5
222-222@8gd-kdb-7kf,2019,1,450499202002,5
222-222@8gd-kdb-7kf,2019,1,450539501003,5
222-222@8gd-kdb-7kf,2019,1,450130021032,5
222-222@8gd-kdb-7kf,2019,1,450499203002,5
222-222@8gd-kdb-7kf,2019,1,450130003003,6
222-222@8gd-kdb-7kf,2019,1,450130011011,6
222-222@8gd-kdb-7kf,2019,1,481872106071,6
222-222@8gd-kdb-7kf,2019,1,450130106002,6
222-222@8gd-kdb-7kf,2019,1,450299704013,6
222-222@8gd-kdb-7kf,2019,1,450130007002,7
222-222@8gd-kdb-7kf,2019,1,450130011022,8
222-222@8gd-kdb-7kf,2019,1,450499203001,8
222-222@8gd-kdb-7kf,2019,1,450130003001,8
222-222@8gd-kdb-7kf,2019,1,450130001002,8
222-222@8gd-kdb-7kf,2019,1,450130005032,9
222-222@8gd-kdb-7kf,2019,1,450130003002,10
222-222@8gd-kdb-7kf,2019,1,450130005012,10
222-222@8gd-kdb-7kf,2019,1,450130005022,10
222-222@8gd-kdb-7kf,2019,1,450130001001,11
222-222@8gd-kdb-7kf,2019,1,450499204002,11
222-222@8gd-kdb-7kf,2019,1,450130006001,11
222-222@8gd-kdb-7kf,2019,1,450130011023,11
222-222@8gd-kdb-7kf,2019,1,450539502012,12
222-222@8gd-kdb-7kf,2019,1,450130006002,13
222-222@8gd-kdb-7kf,2019,1,450130002002,13
222-222@8gd-kdb-7kf,2019,1,450539501001,13
222-222@8gd-kdb-7kf,2019,1,450539502022,13
222-222@8gd-kdb-7kf,2019,1,450130008001,13
222-222@8gd-kdb-7kf,2019,1,450130011012,14
222-222@8gd-kdb-7kf,2019,1,450130022021,15
222-222@8gd-kdb-7kf,2019,1,450130007005,16
222-222@8gd-kdb-7kf,2019,1,450130008003,16
222-222@8gd-kdb-7kf,2019,1,450130007006,18
222-222@8gd-kdb-7kf,2019,1,450130008002,19
222-222@8gd-kdb-7kf,2019,1,450130009021,22
222-222@8gd-kdb-7kf,2019,1,450130005033,22
222-222@8gd-kdb-7kf,2019,1,450130002003,23
222-222@8gd-kdb-7kf,2019,1,450130009031,23
222-222@8gd-kdb-7kf,2019,1,450130005011,24
222-222@8gd-kdb-7kf,2019,1,450130009023,24
222-222@8gd-kdb-7kf,2019,1,450130008004,27
222-222@8gd-kdb-7kf,2019,1,450130011021,28
222-222@8gd-kdb-7kf,2019,1,450130009022,29
222-222@8gd-kdb-7kf,2019,1,450130009011,30
222-222@8gd-kdb-7kf,2019,1,450130002001,31
222-222@8gd-kdb-7kf,2019,1,450130005013,33
222-222@8gd-kdb-7kf,2019,1,450130005031,34
222-222@8gd-kdb-7kf,2019,1,450130005021,37
222-222@8gd-kdb-7kf,2019,1,450130007004,44
222-222@8gd-kdb-7kf,2019,2,371639703011,4
222-222@8gd-kdb-7kf,2019,2,450130021053,4
222-222@8gd-kdb-7kf,2019,2,450539501003,4
222-222@8gd-kdb-7kf,2019,2,260910622001,4
222-222@8gd-kdb-7kf,2019,2,450150207211,4
222-222@8gd-kdb-7kf,2019,2,450539502011,4
222-222@8gd-kdb-7kf,2019,2,121030249052,4
222-222@8gd-kdb-7kf,2019,2,450130103002,4
222-222@8gd-kdb-7kf,2019,2,130510111041,4
222-222@8gd-kdb-7kf,2019,2,450539503002,4
222-222@8gd-kdb-7kf,2019,2,450130021021,4
222-222@8gd-kdb-7kf,2019,2,450499204001,4
222-222@8gd-kdb-7kf,2019,2,450099602001,4
222-222@8gd-kdb-7kf,2019,2,260210201002,4
222-222@8gd-kdb-7kf,2019,2,371190016092,4
222-222@8gd-kdb-7kf,2019,2,450499202005,4
222-222@8gd-kdb-7kf,2019,2,450499205001,4
222-222@8gd-kdb-7kf,2019,2,450130106002,4
222-222@8gd-kdb-7kf,2019,2,450299706004,4
222-222@8gd-kdb-7kf,2019,2,450130022022,4
222-222@8gd-kdb-7kf,2019,2,371559617004,4
222-222@8gd-kdb-7kf,2019,2,371010402032,4
222-222@8gd-kdb-7kf,2019,2,450130007003,4
222-222@8gd-kdb-7kf,2019,2,450539503003,4
222-222@8gd-kdb-7kf,2019,2,450059702002,4
222-222@8gd-kdb-7kf,2019,2,450350105052,4
222-222@8gd-kdb-7kf,2019,2,132519704001,4
222-222@8gd-kdb-7kf,2019,2,450130021041,4
222-222@8gd-kdb-7kf,2019,2,450630210211,4
222-222@8gd-kdb-7kf,2019,2,450130021042,4
222-222@8gd-kdb-7kf,2019,2,450130021071,4
222-222@8gd-kdb-7kf,2019,2,450259503001,4
222-222@8gd-kdb-7kf,2019,2,132799706001,4
222-222@8gd-kdb-7kf,2019,2,450150204031,4
222-222@8gd-kdb-7kf,2019,2,450130021082,4
222-222@8gd-kdb-7kf,2019,2,450190028012,4
222-222@8gd-kdb-7kf,2019,2,130510108071,4
222-222@8gd-kdb-7kf,2019,2,450130021031,4
222-222@8gd-kdb-7kf,2019,2,450539502021,4
222-222@8gd-kdb-7kf,2019,2,210190305002,4
222-222@8gd-kdb-7kf,2019,2,450479704004,4
222-222@8gd-kdb-7kf,2019,2,450299708002,4
222-222@8gd-kdb-7kf,2019,2,450190051002,4
222-222@8gd-kdb-7kf,2019,2,131030303042,4
222-222@8gd-kdb-7kf,2019,2,160270209012,4
222-222@8gd-kdb-7kf,2019,2,450499204002,4
222-222@8gd-kdb-7kf,2019,2,450499202002,4
222-222@8gd-kdb-7kf,2019,2,450130004001,4
222-222@8gd-kdb-7kf,2019,2,450499201002,4
222-222@8gd-kdb-7kf,2019,2,450790119011,4
222-222@8gd-kdb-7kf,2019,2,450499202003,4
222-222@8gd-kdb-7kf,2019,2,450130021052,4
222-222@8gd-kdb-7kf,2019,2,450059704002,4
222-222@8gd-kdb-7kf,2019,2,450130022012,4
222-222@8gd-kdb-7kf,2019,2,130510110061,4
222-222@8gd-kdb-7kf,2019,2,450130021083,5
222-222@8gd-kdb-7kf,2019,2,450499203001,5
222-222@8gd-kdb-7kf,2019,2,450130011022,5
222-222@8gd-kdb-7kf,2019,2,450499202001,5
