year,month,visits_by_day,popularity_by_hour,popularity_by_day
2018,1,"[23,30,33,34,60,31,34,72,58,70,89,63,37,34,62,72,75,82,57,26,26,78,66,82,66,55,27,18,71,68,74]","[138,127,130,121,115,118,200,298,424,468,501,507,529,510,501,496,405,312,245,211,185,174,152,146]","{""Monday"":306,""Tuesday"":294,""Wednesday"":334,""Thursday"":271,""Friday"":235,""Saturday"":121,""Sunday"":112}"
2018,2,"[76,60,39,28,75,67,78,74,54,30,29,63,61,71,83,59,28,32,78,82,83,77,58,37,36,70,78,85]","[139,137,127,121,117,117,214,303,421,487,504,528,562,522,502,463,370,262,203,181,183,161,146,142]","{""Monday"":286,""Tuesday"":288,""Wednesday"":317,""Thursday"":310,""Friday"":231,""Saturday"":134,""Sunday"":125}"
2018,3,"[87,73,28,26,95,68,94,92,65,27,30,99,97,90,27,76,50,56,113,83,99,99,79,40,42,131,103,123,112,56,49]","[193,189,157,150,146,156,266,428,566,645,696,688,707,694,697,658,580,443,368,296,214,210,209,196]","{""Monday"":438,""Tuesday"":351,""Wednesday"":406,""Thursday"":417,""Friday"":349,""Saturday"":194,""Sunday"":154}"
2018,4,"[52,116,108,122,107,121,57,52,122,114,112,101,73,37,54,104,112,108,126,96,59,50,148,115,126,120,91,46,55,105]","[233,213,205,206,198,208,364,529,698,830,888,886,903,915,890,790,694,563,481,385,229,246,271,238]","{""Monday"":595,""Tuesday"":449,""Wednesday"":468,""Thursday"":454,""Friday"":381,""Saturday"":199,""Sunday"":263}"
2018,5,"[109,122,82,98,66,48,139,140,132,84,132,49,42,124,125,128,117,106,57,45,146,123,142,128,109,45,60,77,121,161,117]","[243,225,225,217,215,228,402,642,821,947,1006,1022,1038,1011,984,874,741,598,512,399,274,284,270,249]","{""Monday"":486,""Tuesday"":618,""Wednesday"":685,""Thursday"":528,""Friday"":445,""Saturday"":217,""Sunday"":195}"
2018,6,"[106,57,45,119,136,116,125,100,44,50,134,109,121,144,113,52,44,112,141,132,164,105,41,57,159,141,135,123,110,46]","[203,185,178,173,163,186,362,605,816,908,954,1011,985,952,933,857,762,607,479,372,260,263,243,214]","{""Monday"":524,""Tuesday"":527,""Wednesday"":504,""Thursday"":556,""Friday"":534,""Saturday"":240,""Sunday"":196}"
2018,7,"[33,114,130,53,139,106,62,52,121,131,141,142,130,82,58,136,147,135,147,101,44,62,141,166,156,121,94,53,55,123,112]","[282,279,265,264,258,278,457,660,825,942,1012,1036,1047,973,926,866,786,599,507,399,328,342,328,291]","{""Monday"":635,""Tuesday"":686,""Wednesday"":485,""Thursday"":549,""Friday"":431,""Saturday"":241,""Sunday"":260}"
2018,8,"[116,151,129,68,63,144,127,141,133,110,47,52,135,99,123,92,105,47,29,147,145,136,131,98,53,49,126,128,131,167,126]","[216,212,203,207,200,202,352,586,834,950,1011,1019,1081,1023,1003,900,776,590,467,366,266,278,253,230]","{""Monday"":552,""Tuesday"":499,""Wednesday"":647,""Thursday"":674,""Friday"":568,""Saturday"":215,""Sunday"":193}"
2018,9,"[61,70,50,118,132,141,117,57,55,154,98,113,96,66,44,41,144,138,133,145,93,54,64,140,151,174,144,131,65,67]","[220,213,202,214,216,242,398,619,814,926,988,1024,1049,1010,929,808,700,534,482,369,272,289,275,247]","{""Monday"":488,""Tuesday"":505,""Wednesday"":552,""Thursday"":526,""Friday"":407,""Saturday"":281,""Sunday"":297}"
2018,10,"[160,153,147,156,127,69,68,136,178,191,174,134,50,52,128,151,124,161,142,82,70,121,172,199,160,137,51,54,159,162,167]","[284,274,271,271,275,297,473,804,1062,1216,1255,1311,1371,1295,1254,1114,1002,739,639,507,356,358,323,313]","{""Monday"":704,""Tuesday"":816,""Wednesday"":828,""Thursday"":651,""Friday"":540,""Saturday"":252,""Sunday"":244}"
2018,11,"[192,136,67,73,153,181,182,167,113,59,44,174,172,158,142,159,78,59,151,178,140,57,45,53,48,173,158,149,148,137]","[284,302,328,331,326,353,536,757,938,1060,1099,1140,1155,1136,1068,951,821,625,490,426,382,342,311,297]","{""Monday"":651,""Tuesday"":689,""Wednesday"":629,""Thursday"":706,""Friday"":590,""Saturday"":257,""Sunday"":224}"
2018,12,"[63,76,153,147,185,157,127,49,54,167,143,132,169,117,54,67,150,142,125,116,112,55,42,77,62,112,150,113,57,54,92]","[261,271,263,260,265,300,487,682,837,965,1012,1018,1054,987,924,851,759,549,445,378,353,338,312,289]","{""Monday"":639,""Tuesday"":494,""Wednesday"":554,""Thursday"":592,""Friday"":469,""Saturday"":278,""Sunday"":293}"
2019,1,"[54,135,143,132,62,46,120,130,180,150,138,84,69,163,149,163,194,150,86,94,174,175,170,163,119,51,58,160,165,183,149]","[311,330,326,331,347,386,608,830,1024,1128,1192,1213,1254,1190,1171,1051,912,685,545,502,470,427,409,380]","{""Monday"":617,""Tuesday"":673,""Wednesday"":831,""Thursday"":799,""Friday"":539,""Saturday"":283,""Sunday"":267}"
2019,2,"[110,46,57,137,151,146,156,135,62,68,173,203,213,167,137,56,65,175,160,159,205,140,64,58,145,182,186,177]","[298,289,281,298,292,328,539,764,957,1069,1138,1111,1068,1017,993,898,814,592,493,434,422,419,388,367]","{""Monday"":630,""Tuesday"":696,""Wednesday"":704,""Thursday"":705,""Friday"":522,""Saturday"":228,""Sunday"":248}"
2019,3,"[197,73,74,207,169,185,200,174,87,67,165,189,192,174,162,83,77,152,176,189,176,183,78,75,155,148,197,175,174,63,66]","[338,321,329,351,361,441,712,983,1174,1274,1345,1389,1357,1297,1267,1174,1021,748,681,583,526,497,461,415]","{""Monday"":679,""Tuesday"":682,""Wednesday"":763,""Thursday"":725,""Friday"":890,""Saturday"":384,""Sunday"":359}"
2019,4,"[182,180,197,191,149,90,77,144,191,172,184,135,91,83,181,178,159,167,163,77,75,125,172,194,161,134,87,84,162,164]","[344,328,344,357,387,458,771,1065,1262,1326,1421,1357,1370,1272,1248,1059,897,698,640,507,384,392,395,371]","{""Monday"":794,""Tuesday"":885,""Wednesday"":722,""Thursday"":703,""Friday"":581,""Saturday"":345,""Sunday"":319}"
2019,5,"[157,186,152,92,77,158,150,178,167,143,79,56,176,171,160,192,183,86,78,119,167,169,138,153,68,54,72,159,147,145,140]","[296,283,281,291,280,324,616,912,1148,1229,1352,1302,1282,1248,1162,1080,920,665,648,518,400,386,347,337]","{""Monday"":525,""Tuesday"":647,""Wednesday"":811,""Thursday"":828,""Friday"":771,""Saturday"":325,""Sunday"":265}"
2019,6,"[67,85,144,174,166,148,163,63,64,172,179,146,122,143,86,79,148,151,147,149,128,71,72,113,125,146,150,130,72,48]","[315,295,279,267,264,302,566,827,1029,1115,1158,1117,1127,1079,1046,985,823,628,635,506,379,369,343,340]","{""Monday"":577,""Tuesday"":629,""Wednesday"":605,""Thursday"":569,""Friday"":564,""Saturday"":359,""Sunday"":348}"
2019,7,"[136,134,130,57,97,64,61,120,120,123,140,175,68,59,149,143,132,117,135,90,62,137,118,129,132,113,64,41,117,101,129]","[287,274,269,264,251,301,526,775,930,1014,1069,1075,1055,1053,1031,924,770,592,610,490,356,366,308,296]","{""Monday"":659,""Tuesday"":616,""Wednesday"":643,""Thursday"":446,""Friday"":520,""Saturday"":286,""Sunday"":223}"
2019,8,"[134,142,94,72,132,147,142,135,125,64,60,138,147,137,143,135,90,85,149,132,138,142,155,68,60,180,160,156,173,131,63]","[361,346,327,318,327,355,657,865,1012,1090,1164,1213,1165,1133,1129,1049,854,637,674,582,455,448,439,402]","{""Monday"":599,""Tuesday"":586,""Wednesday"":573,""Thursday"":727,""Friday"":688,""Saturday"":379,""Sunday"":277}"
2019,9,"[64,104,95,68,72,54,60,76,161,160,183,176,150,86,74,184,168,156,155,136,72,58,179,176,150,163,141,61,80,147]","[371,374,368,360,358,381,677,926,1053,1165,1198,1225,1253,1214,1136,966,791,643,660,549,439,432,415,398]","{""Monday"":775,""Tuesday"":599,""Wednesday"":557,""Thursday"":566,""Friday"":481,""Saturday"":279,""Sunday"":352}"
2019,10,"[156,147,142,115,66,57,121,138,151,133,98,48,65,137,119,125,100,115,49,54,132,105,143,100,109,43,54,113,127,130,127]","[249,235,225,223,219,230,539,828,1004,1096,1120,1154,1158,1120,1042,878,701,511,548,482,316,304,277,265]","{""Monday"":503,""Tuesday"":645,""Wednesday"":696,""Thursday"":602,""Friday"":437,""Saturday"":206,""Sunday"":230}"
2019,11,"[138,84,65,145,156,141,178,112,62,70,167,145,151,146,126,54,61,157,152,190,196,164,99,69,146,138,116,58,65,73]","[313,298,296,302,286,302,594,934,1062,1170,1234,1197,1196,1121,1106,972,847,665,622,524,412,390,343,328]","{""Monday"":615,""Tuesday"":591,""Wednesday"":598,""Thursday"":578,""Friday"":605,""Saturday"":372,""Sunday"":265}"
2019,12,"[74,147,150,154,167,140,67,73,132,132,165,168,113,80,82,116,146,122,131,154,77,74,124,90,66,98,102,65,46,146,127]","[278,264,250,250,245,275,529,823,995,1143,1202,1169,1147,1128,1084,953,802,637,535,451,385,352,328,291]","{""Monday"":665,""Tuesday"":645,""Wednesday"":507,""Thursday"":564,""Friday"":509,""Saturday"":289,""Sunday"":349}"
2020,1,"[68,144,170,87,83,185,153,192,191,166,59,92,181,137,191,174,117,77,85,162,168,186,150,162,54,85,153,158,169,161,164]","[375,347,340,339,336,392,758,1053,1275,1448,1485,1485,1499,1427,1375,1166,951,733,622,551,463,430,423,401]","{""Monday"":681,""Tuesday"":616,""Wednesday"":806,""Thursday"":820,""Friday"":779,""Saturday"":277,""Sunday"":345}"
2020,2,"[69,80,179,144,149,171,140,73,60,148,145,165,146,136,64,60,141,143,154,178,135,69,71,172,111,161,176,145,78]","[291,286,276,271,265,306,685,989,1116,1241,1297,1294,1312,1309,1240,1047,879,649,578,496,371,338,323,305]","{""Monday"":640,""Tuesday"":543,""Wednesday"":629,""Thursday"":671,""Friday"":556,""Saturday"":353,""Sunday"":271}"
2020,3,"[53,165,160,122,148,153,48,56,125,135,167,136,137,69,37,125,111,115,125,109,49,64,106,95,125,99,68,31,43,85,73]","[246,234,229,219,215,243,605,893,1056,1145,1173,1184,1146,1113,1003,861,768,595,558,482,305,297,293,270]","{""Monday"":606,""Tuesday"":574,""Wednesday"":529,""Thursday"":508,""Friday"":467,""Saturday"":197,""Sunday"":253}"
2020,4,"[79,80,72,43,40,83,77,82,68,64,36,38,65,54,59,55,69,40,34,77,76,72,69,64,45,46,95,74,73,82]","[195,192,185,180,179,208,445,572,607,677,707,748,705,666,636,564,472,371,453,394,263,260,248,221]","{""Monday"":320,""Tuesday"":281,""Wednesday"":365,""Thursday"":354,""Friday"":269,""Saturday"":164,""Sunday"":158}"
2020,5,"[68,37,34,69,97,89,88,68,27,22,88,95,83,80,63,39,44,85,86,81,80,59,35,31,54,74,106,99,87,45,36]","[175,172,164,157,156,179,376,593,638,727,781,779,752,731,693,645,523,387,425,378,217,226,219,196]","{""Monday"":296,""Tuesday"":352,""Wednesday"":359,""Thursday"":347,""Friday"":345,""Saturday"":183,""Sunday"":167}"
2020,6,"[96,99,126,110,84,38,30,87,96,93,128,70,57,30,90,101,102,98,68,38,27,115,102,110,108,85,38,51,82,103]","[194,190,185,179,184,203,483,689,770,852,928,930,868,883,854,723,578,427,435,382,220,230,225,215]","{""Monday"":470,""Tuesday"":501,""Wednesday"":431,""Thursday"":444,""Friday"":307,""Saturday"":171,""Sunday"":138}"
2020,7,"[78,78,49,41,31,104,108,81,100,69,51,57,118,112,123,106,98,61,49,99,114,97,102,93,44,26,97,87,109,116,88]","[239,222,223,216,221,252,554,765,827,889,942,902,855,879,888,757,614,494,530,453,274,279,289,262]","{""Monday"":418,""Tuesday"":421,""Wednesday"":488,""Thursday"":502,""Friday"":397,""Saturday"":197,""Sunday"":163}"
2020,8,"[55,43,106,114,98,114,84,46,41,97,121,103,129,102,26,30,96,113,110,106,72,45,56,95,120,116,111,95,55,41,87]","[207,191,182,189,200,220,594,837,969,1003,1045,1056,1050,1002,973,805,682,519,543,425,235,237,237,229]","{""Monday"":481,""Tuesday"":468,""Wednesday"":427,""Thursday"":460,""Friday"":353,""Saturday"":227,""Sunday"":211}"
2020,9,"[97,95,112,93,74,52,63,118,124,131,101,55,53,132,120,130,130,86,47,49,108,115,112,129,122,68,44,119,116,112]","[281,266,259,264,279,296,629,810,923,1038,1122,1119,1112,1089,1061,903,768,560,559,432,327,320,316,306]","{""Monday"":422,""Tuesday"":566,""Wednesday"":573,""Thursday"":502,""Friday"":402,""Saturday"":244,""Sunday"":198}"
2020,10,"[119,107,60,42,114,103,127,149,113,60,58,114,121,135,118,136,68,50,123,109,120,118,83,38,31,124,103,111,101,95,35]","[284,278,279,269,265,295,639,856,985,1060,1121,1177,1187,1131,1061,899,724,534,563,444,312,293,311,293]","{""Monday"":475,""Tuesday"":436,""Wednesday"":493,""Thursday"":605,""Friday"":534,""Saturday"":261,""Sunday"":181}"
